#Time[sec]	Frequency[Hz]	Power[(m/s)^2ÅEs]
8.96	33.984375	2.4827046918906E-19
8.96	34.375	1.12090730072618E-18
8.96	34.765625	9.44324662399188E-19
8.96	35.15625	4.40244169501201E-18
8.96	35.546875	2.83018268629188E-18
8.96	35.9375	1.3805009847977E-18
8.96	36.328125	4.08013168448046E-18
8.96	36.71875	2.83949346523723E-18
8.96	37.109375	6.76175446938794E-18
8.96	37.5	3.68922993075424E-18
8.96	37.890625	2.30052327688151E-18
8.96	38.28125	7.66556795501412E-18
8.96	38.671875	8.55986878946861E-18
8.96	39.0625	6.61170834878602E-18
8.96	39.453125	1.90169549594101E-18
8.96	39.84375	3.31526894321475E-18
8.96	40.234375	8.81794004580308E-18
8.96	40.625	8.44535154112306E-18
8.96	41.015625	2.80022797370128E-18
8.96	41.40625	2.87215107685498E-19
8.96	41.796875	6.13845584260913E-18
8.96	42.1875	5.63888882409482E-18
8.96	42.578125	4.51128301360029E-18
8.96	42.96875	1.34476067432499E-17
8.96	43.359375	9.6755924503437E-18
8.96	43.75	5.06191805159836E-18
8.96	44.140625	2.15949715964025E-18
8.96	44.53125	1.15322162394589E-18
8.96	44.921875	1.15588656395781E-18
8.96	45.3125	5.43196037249877E-19
8.96	45.703125	4.15589703977556E-19
8.96	46.09375	2.2083766146192E-19
8.96	46.484375	3.06263372120311E-21
8.96	46.875	1.67846589100865E-20
8.96	47.265625	3.26267294866931E-21
8.96	47.65625	2.36709934630774E-21
8.96	48.046875	1.17874935885557E-22
8.96	48.4375	4.75715939587653E-22
8.96	48.828125	8.09864579440928E-22
8.96	49.21875	1.183062952989E-21
8.96	49.609375	4.46590912317008E-22
8.96	50	8.76900708155649E-23
11.52	0	2.72261567526296E-16
11.52	0.390625	6.64606791450487E-15
11.52	0.78125	1.44116555756106E-15
11.52	1.171875	5.76375229403241E-17
11.52	1.5625	9.05613797031968E-17
11.52	1.953125	1.8520710001152E-17
11.52	2.34375	1.94906576637671E-17
11.52	2.734375	2.6264951937822E-17
11.52	3.125	2.32130983423421E-17
11.52	3.515625	2.92964116665507E-17
11.52	3.90625	7.89767692839506E-17
11.52	4.296875	2.0926341504519E-17
11.52	4.6875	2.2467410046019E-17
11.52	5.078125	6.88665915993564E-18
11.52	5.46875	1.36526943582986E-17
11.52	5.859375	5.41408692634783E-18
11.52	6.25	2.69949688146296E-18
11.52	6.640625	4.0057251428965E-18
11.52	7.03125	1.56126567703247E-17
11.52	7.421875	8.79474962208226E-18
11.52	7.8125	5.86972940568365E-18
11.52	8.203125	1.72360804204419E-17
11.52	8.59375	7.81293614192003E-18
11.52	8.984375	1.68445128953615E-18
11.52	9.375	1.08026015654592E-17
11.52	9.765625	6.13017638487733E-18
11.52	10.15625	6.96662147648689E-19
11.52	10.546875	3.54098679125854E-18
11.52	10.9375	1.09063490024645E-19
11.52	11.328125	8.35404607282086E-18
11.52	11.71875	2.67328594692242E-18
11.52	12.109375	2.79749475042631E-18
11.52	12.5	3.95006168787836E-18
11.52	12.890625	2.45809471713955E-18
11.52	13.28125	1.08568358637621E-17
11.52	13.671875	2.45130119342994E-18
11.52	14.0625	5.75051153590522E-19
11.52	14.453125	5.82562515944737E-20
11.52	14.84375	2.47900639147189E-18
11.52	15.234375	4.12443042161317E-18
11.52	15.625	9.52700019609801E-18
11.52	16.015625	7.61546319448207E-18
11.52	16.40625	7.54185171894491E-18
11.52	16.796875	8.10369764335166E-18
11.52	17.1875	1.06955649807378E-17
11.52	17.578125	1.27538666818777E-17
11.52	17.96875	4.79400645240781E-18
11.52	18.359375	3.16810566621532E-18
11.52	18.75	4.80487541971819E-18
11.52	19.140625	1.83016893901397E-18
11.52	19.53125	7.6169861286416E-19
11.52	19.921875	3.69810616516927E-18
11.52	20.3125	9.83816086717698E-18
11.52	20.703125	7.20234909608067E-18
11.52	21.09375	5.33626926455096E-18
11.52	21.484375	2.85780510546577E-18
11.52	21.875	1.03295181414617E-17
11.52	22.265625	2.88244477215819E-18
11.52	22.65625	2.77687918358928E-18
11.52	23.046875	4.43529827147469E-18
11.52	23.4375	9.65537856323624E-18
11.52	23.828125	1.23968923540672E-17
11.52	24.21875	3.66247660777352E-18
11.52	24.609375	8.99010996723425E-18
11.52	25	1.13164981485252E-17
11.52	25.390625	1.00766138779095E-18
11.52	25.78125	2.52861081946076E-18
11.52	26.171875	8.78578713215218E-18
11.52	26.5625	2.88145821896861E-18
11.52	26.953125	4.84879769148761E-19
11.52	27.34375	5.52372837677381E-18
11.52	27.734375	5.06080999169544E-18
11.52	28.125	4.29010222333087E-18
11.52	28.515625	1.67596145417283E-17
11.52	28.90625	7.69490787022797E-18
11.52	29.296875	6.7997227867909E-18
11.52	29.6875	5.71518977556426E-18
11.52	30.078125	7.76116357469166E-19
11.52	30.46875	1.03496290921823E-18
11.52	30.859375	2.45125237350252E-18
11.52	31.25	5.63138797398181E-19
11.52	31.640625	2.54275623784988E-19
11.52	32.03125	2.2770657436962E-18
11.52	32.421875	4.31859312753526E-18
11.52	32.8125	4.05368384007736E-18
11.52	33.203125	2.64059480698683E-18
11.52	33.59375	2.79417228085793E-19
11.52	33.984375	1.73735004297681E-18
11.52	34.375	4.90919048488253E-18
11.52	34.765625	8.21456464142391E-18
11.52	35.15625	8.10499376934415E-18
11.52	35.546875	3.41432481673166E-18
11.52	35.9375	8.88877127729811E-18
11.52	36.328125	4.86446962335998E-18
11.52	36.71875	3.76358451074703E-18
11.52	37.109375	1.24847648756507E-18
11.52	37.5	1.17064824642375E-17
11.52	37.890625	6.04821544346724E-18
11.52	38.28125	6.23203236917425E-18
11.52	38.671875	2.53448539184154E-18
11.52	39.0625	1.76919089709682E-18
11.52	39.453125	6.88378973943219E-18
11.52	39.84375	5.02163783755768E-19
11.52	40.234375	1.15792460238672E-18
11.52	40.625	4.25317098243779E-18
11.52	41.015625	2.12847284234439E-18
11.52	41.40625	1.00016281368928E-18
11.52	41.796875	9.93786154591097E-18
11.52	42.1875	2.0675418404208E-18
11.52	42.578125	2.01286862533852E-18
11.52	42.96875	3.71428560549231E-19
11.52	43.359375	7.16950902183382E-19
11.52	43.75	3.44569825844969E-19
11.52	44.140625	2.20214738319499E-18
11.52	44.53125	1.25163224748133E-18
11.52	44.921875	7.3711443318268E-19
11.52	45.3125	4.16699435341379E-20
11.52	45.703125	1.86643306084141E-19
11.52	46.09375	1.2731675598667E-20
11.52	46.484375	1.66327004563622E-20
11.52	46.875	1.46676551031764E-21
11.52	47.265625	3.5904782832525E-21
11.52	47.65625	1.1644430254657E-22
11.52	48.046875	4.66024054601482E-22
11.52	48.4375	1.15488456556804E-22
11.52	48.828125	8.52310738609893E-22
11.52	49.21875	4.95416240729114E-22
11.52	49.609375	1.13889871601807E-22
11.52	50	2.5900895207811E-27
14.08	0	4.73443499539385E-17
14.08	0.390625	5.87622012020104E-15
14.08	0.78125	2.5915820334559E-15
14.08	1.171875	1.66048646692286E-16
14.08	1.5625	2.88821366804168E-17
14.08	1.953125	1.56001255424711E-16
14.08	2.34375	3.15550435039857E-18
14.08	2.734375	3.47925004777878E-17
14.08	3.125	4.15806882734875E-18
14.08	3.515625	3.95509331723852E-17
